NO,NAME,CODE,LAST DONE,VOL ('00)
471,REVENUE ,200,1.99,"12,073"
472,REX ,9946,0.24,"81,810"
473,REXIT ,106,0.865,730
474,RGTBHD ,9954,0.37,"5,010"
475,RGTECH ,202,0.35,"3,736"
476,RL ,219,0.54,"21,157"
477,ROHAS ,9741,0.3,"2,340"
478,RSAWIT ,5113,0.235,"78,593"
479,RUBEREX ,7803,0.655,"111,233"
480,S&FCAP ,8745,0.125,"2,001"
481,SALCON ,8567,0.225,"36,241"
482,SALUTE ,183,0.64,"54,915"
483,SAM ,9822,14.82,"3,131"
484,SAMAIDEN ,223,1.19,"3,250"
485,SANICHI ,133,0.035,"35,170"
486,SAPNRG ,5218,0.125,"225,055"
487,SASBADI ,5252,0.21,"7,765"
488,SAUDEE ,5157,0.075,"118,172"
489,SBCCORP ,5207,0.43,"1,864"
490,SCABLE ,5170,0.37,"6,342"
491,SCBUILD ,109,0.07,"6,678"
492,SCGM ,7247,2.43,"1,484"
493,SCIB ,9237,0.59,"70,522"
494,SCIENTX ,4731,4.51,"14,497"
495,SCNWOLF ,7239,0.425,"30,766"
496,SCOMIES ,7045,0.09,812
497,SCOMNET ,1,1.47,"4,765"
498,SCOPE ,28,0.32,"248,906"
499,SDRED ,2224,0.61,"2,147"
500,SDS ,212,0.35,"3,487"
501,SEACERA ,7073,0.195,818
502,SEAL ,4286,0.385,"7,423"
503,SEALINK ,5145,0.18,"15,168"
504,SEDANIA ,178,0.69,"60,192"
505,SEG ,9792,0.64,"1,340"
506,SENDAI ,5205,0.225,533
507,SERBADK ,5279,0.385,"485,283"
508,SERNKOU ,7180,0.625,"7,074"
509,SERSOL ,55,0.43,"180,855"
510,SHCHAN ,4316,0.605,"3,460"
511,SIGN ,7246,0.93,560
512,SIME ,4197,2.34,"40,924"
513,SIMEPLT ,5285,3.91,"36,590"
514,SIMEPROP ,5288,0.65,"17,918"
515,SJC ,9431,2.14,"2,212"
516,SKBSHUT ,7115,1.99,"3,478"
517,SKPRES ,7155,1.8,"50,830"
518,SLVEST ,215,1.29,"27,590"
519,SMCAP ,9776,0.295,"20,766"
520,SMETRIC ,203,0.155,"39,328"
521,SMI ,4375,0.2,"8,627"
522,SMISCOR ,7132,0.715,"1,966"
523,SMRT ,117,0.14,"2,363"
524,SMTRACK ,169,0.095,"141,007"
525,SNC ,7943,1.23,"35,758"
526,SOLID ,5242,0.255,"27,354"
527,SOLUTN ,93,0.77,"29,564"
528,SOP ,5126,3.69,"2,086"
529,SPRING ,216,0.265,"3,295"
530,SPSETIA ,8664,1.22,"45,135"
531,SRIDGE ,129,0.225,"2,206"
532,STAR ,6084,0.36,"2,444"
533,STRAITS ,80,0.18,"135,557"
534,SUCCESS ,7207,0.84,"6,646"
535,SUNCON ,5263,1.68,"1,998"
536,SUNWAY ,5211,1.75,"16,710"
537,SUNZEN ,148,0.225,"8,258"
538,SUPERLN ,7235,0.915,"3,140"
539,SUPERMX ,7106,2.82,"201,724"
540,SURIA ,6521,1.12,714
541,SWKPLNT ,5135,2.49,"2,906"
542,SWSCAP ,7186,0.465,"1,000"
543,SYF ,7082,0.42,"427,363"
544,SYMLIFE ,1538,0.575,"81,802"
545,SYSCORP ,5173,0.355,"54,264"
546,SYSTECH ,50,0.245,"30,412"
