Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
NICE,NICHE CAPITAL EMAS HLDG BHD,-0.01,-5.88235294,0.16,0.185,0.22,0.285,3.6,Strong Sell,717600,132695865,Consumer Durables
NIHSIN,NI HSIN GROUP BERHAD,-0.005,-3.7037037,0.13,0.19,0.19,0.3,0.377308,Strong Sell,8869200,65477639,Consumer Durables
NOTION,NOTION VTEC BHD,-0.01,-1.81818182,0.54,0.635,0.775,1.31,2.34,Sell,611700,283624875,Producer Manufacturing
NOVA,NOVA WELLNESS GROUP BERHAD,0,0,0.865,0.89,0.89,1.06,1.32,Buy,179700,274848394,Health Technology
NOVAMSC,NOVA MSC BHD,-0.005,-4,0.12,0.135,0.145,0.18,0.69,Sell,6301900,145252991,Technology Services
NPC,NPC RESOURCES BHD,0,0,1.87,1.95,2,2.47,3.19,Sell,6300,218533438,Process Industries
NSOP,NEGRI SEMBILAN OIL PALMS BHD,0.05,1.5625,3.25,3.25,3.25,3.4,6.3,Strong Buy,18000,224646268,Process Industries
NTPM,NTPM HOLDINGS BHD,-0.01,-2,0.49,0.535,0.57,0.87,1.09,Strong Sell,342300,561520020,Consumer Non-Durables
NWP,NWP HOLDINGS BHD,0.005,1.81818182,0.28,0.285,0.285,0.31,1.4125,Buy,45157600,144760967,Non-Energy Minerals
NYLEX,NYLEX (M) BHD,-0.01,-0.84745763,1.17,1.22,1.22,1.22,1.861075,Buy,7060200,211564329,Producer Manufacturing
OCB,OCB BHD,0.01,1.25,0.81,0.915,1.3,1.3,1.838571,Neutral,110600,82280000,Distribution Services
OCK,OCK GROUP BERHAD,0.005,1.06382979,0.475,0.525,0.525,0.575,1.323656,Neutral,1319100,495594689,Communications
OCNCASH,OCEANCASH PACIFIC BHD,0,0,0.415,0.47,0.505,0.845,1.52,Sell,46100,108231993,Process Industries
OCR,OCR GROUP BERHAD,-0.005,-4,0.12,0.165,0.19,0.32,1.38125,Strong Sell,2660000,73673325,Distribution Services
OFI,ORIENTAL FOOD INDUSTRIES HLDG,0.005,0.54644809,0.92,0.99,1.24,1.24,2.55,Sell,142800,219600005,Consumer Non-Durables
OIB,ORIENTAL INTEREST BHD,0.01,1.13636364,0.89,0.915,1.11,1.11,1.11,Buy,77200,408826170,Industrial Services
OKA,OKA CORPORATION BHD,0.05,5.91715976,0.895,0.925,0.925,0.925,1.313332,Strong Buy,8856800,207359069,Non-Energy Minerals
OLYMPIA,OLYMPIA INDUSTRIES BHD,-0.005,-5,0.095,0.11,0.12,0.15,2.005545,Strong Sell,108600,102343196,Miscellaneous
